lang,total
TypeScript,295
Jupyter Notebook,78
Groff,2
Shell,3406
Web Ontology Language,13
Nginx,315
Elixir,54
Logos,2
D,1
Kotlin,14
Crystal,10
Objective-C,8
Batchfile,3
Roff,4
FreeMarker,1
Swift,29
Smarty,201
Go,3776
Visual Basic,5
PHP,1997
Java,2408
Scala,214
OpenSCAD,1
ApacheConf,69
Makefile,541
C,93
Perl,74
Lua,44
CoffeeScript,154
HTML,779
Ruby,1426
PLpgSQL,45
None,1062
Modelica,1
Clojure,163
HCL,29
CSS,588
CMake,1
ColdFusion,95
Tcl,5
Elm,6
ASP,1
C#,194
NetLogo,1
Rust,30
SaltStack,3
Gherkin,2
XSLT,16
DIGITAL Command Language,2
TeX,7
R,18
Vim script,11
M4,1
SQLPL,1
Protocol Buffer,3
Pascal,1
F#,15
Puppet,20
OCaml,4
Diff,1
Emacs Lisp,5
JavaScript,5045
VimL,20
OpenEdge ABL,2
Erlang,18
Scheme,1
PLSQL,2
Python,5888
Common Lisp,3
Dart,3
Nimrod,1
Groovy,113
Vue,8
VCL,2
C++,226
FORTRAN,1
Standard ML,3
PureScript,1
Julia,1
Bro,2
Haskell,62
Io,1
Game Maker Language,2
Racket,1
AGS Script,2
PowerShell,21
